,transaction_id,date,category,product,amount,region
0,101,2024-01-15,Electronics,Laptop,1200,North
1,102,2024-01-16,Electronics,Headphones,150,North
2,103,2024-01-20,Clothing,T-Shirt,25,East
3,104,2024-02-01,Home,Blender,80,West
4,105,2024-02-05,Electronics,Monitor,300,North
5,106,2024-02-10,Clothing,Jeans,50,East
6,107,2024-03-01,Home,Sofa,500,West
7,108,2024-03-05,Electronics,Mouse,40,South
8,109,2024-03-10,Home,Lamp,60,West
9,110,2024-03-12,Clothing,Jacket,120,East
10,111,2024-01-15,Electronics,Laptop,1200,South
11,112,2024-01-18,Home,Table,150,West
12,113,2024-02-20,Clothing,Sneakers,80,North
13,114,2024-02-22,Electronics,Headphones,150,South
14,115,2024-03-15,Home,Rug,100,East
15,116,2024-03-18,Clothing,Hat,20,East
16,117,2024-01-05,Electronics,Tablet,400,North
17,118,2024-02-14,Home,Chair,200,South
18,119,2024-03-25,Clothing,Scarf,30,West
19,120,2024-03-30,Electronics,Keyboard,80,South
